"560009","PCP-TM_n","The Matrix Condo","0586CP5401","บริษัท อินเตอร์เอ็กซ์เพิร์ท คอนสตรัคชั่น จำกัด",0,""
"560010","PCP-TM_n","KCE FACTORY","0600CP5601","บริษัท เคซีอี อีเลคโทรนิคส์ จำกัด",0,""
"560011","PCP-TM_n","อาคารเก็บสินค้า 75ไร่","0454CP5601","บริษัท สหไทย พรอพเพอร์ตี้ แอนด์ ดีเวลลอปเม้นท์ จำกัด",0,""
"560012","PCP-TM_n","P52 จ.ชลบุรี","0601CP5601","บริษัท กฤษดามหานคร จำกัด (มหาชน)",0,""
"560013","PCP-TM_n","Central Rambutan","0310CP5901","บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน)",0,""
"560014","PCP-TM_n","HORKOS","0338CP5601","บริษัท ฮาซาม่า อันโด (ประเทศไทย) จำกัด",0,""
"560015","PCP-TM_n","อพาร์ทเม้นท์ 8 ชั้น ศรีราชา (พลอยระวี)","0450CP5501","บริษัท รุ่งไกล จำกัด",0,""
"560016","PCP-TM_n","คณาสิริ บางกรวย","0207CP5601","บริษัท แสนสิริ จำกัด (มหาชน)",0,""
"560017","PT-TM_n","South Point พัทยา","0096PT5601","บริษัท บวิค-ไทย จำกัด",0,""
"570001","PCP-TM_n","Mind   ติวานนท์","0234CP6001","บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน)",0,""
"570002","PCP-TM_n","เสาเข็มเขื่อนกำแพงกันดิน The Tris Bang Yai","0246CP5701","บริษัท ไอริส กรุ๊ป จำกัด",0,""
"570003","PCP-TM_n","ก่อสร้างกำแพงกันดินคลองบางเขน ระยะที่ 2 ช่วงคลองบางเขนใหม่คลองส่วยจังหวัดนนทบุรี","0106CP5701","บริษัท บุญรัตน์ 2009 จำกัด",0,""
"570004","PCP-TM_n","115/22KV Distribution Substation","0233CP5701","บริษัท เอบีบี จำกัด",0,""
"570005","PCP-TM_n","Golden Prestige เอกชัย - วงแหวน","0016CP5701","บริษัท โกลเด้น แลนด์ เรสซิเด้นซ์ จำกัด",0,""
"570006","PCP-TM_n","เสาเข็มราชดำริ","0066CP5701","ห้างหุ้นส่วนจำกัด ทริปเปิ้ล ช.เอ็นจิเนียริ่ง",0,""
"570007","PT-TM_n","อาคารฝึกปฎิบัติการพื้นฐานวิชาชีพ มทร.ราชมงคลธัญบุรี","0190PT5701","บริษัท สยาม พี.ซี.เอส. จำกัด",0,""
"570008","PW-TM_n","GOLDENLAND สุขาภิบาล 5","0016PW5701","บริษัท โกลเด้น แลนด์ เรสซิเด้นซ์ จำกัด",0,""
"570009","PCP-TM_n","อาคารเก็บสินค้า 87 ไร่","0454CP5601","บริษัท สหไทย พรอพเพอร์ตี้ แอนด์ ดีเวลลอปเม้นท์ จำกัด",0,""
"570010","PCP-TM_n","TOPRE NEW FACTORY","0602CP5701","ฮาซาม่า อันโด คอร์ปอเรชั่น",0,""
"570011","PCP-TM_n","BIG C FRESH DISTRIBUTION CENTER","0603CP5701","บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน)",0,""
"570012","PCP-TM_n","อาคารเก็บสินค้า Mc Jeans","0589CP5501","บริษัท รัตนาบดีแลนด์ จำกัด",0,""
"570013","PCP-TM_n","บ้านกลางเมือง พหลโยธิน 50","0234CP5801","บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน)",0,""
"570014","PCP-TM_n","ศูนย์ทดสอบยานยนต์พร้อมระบบตรวจสภาพรถ","0618CP5701","บริษัท แอ็ดเท็นคอน จำกัด",0,""
"570015","PCP-TM_n","ก่อสร้างโรงงานกรีนสปอตแห่งใหม่","0663CP5701","บริษัท กรีนสปอต จำกัด",0,""
